timestamp;pv1;load1;wind
2023-01-02 00:45:00;0.0000;0.2760;0.4879
2023-01-02 01:00:00;0.0000;0.2760;0.5117
2023-01-02 01:15:00;0.0000;0.2610;0.1603
2023-01-02 01:30:00;0.0000;0.2460;0.0000
2023-01-02 01:45:00;0.0000;0.2310;0.3737
2023-01-02 02:00:00;0.0000;0.2160;0.1928
2023-01-02 02:15:00;0.0000;0.2290;0.1443
2023-01-02 02:30:00;0.0000;0.2420;0.7865
2023-01-02 02:45:00;0.0000;0.2550;0.0000
2023-01-02 03:00:00;0.0000;0.2680;0.0000
2023-01-02 03:15:00;0.0000;0.2670;0.9668
2023-01-02 03:30:00;0.0000;0.2660;0.0000
2023-01-02 03:45:00;0.0000;0.2650;0.0942
2023-01-02 04:00:00;0.0000;0.2640;0.1825
2023-01-02 04:15:00;0.0000;0.3000;0.1178
2023-01-02 04:30:00;0.0000;0.3360;0.0000
2023-01-02 04:45:00;0.0000;0.3720;1.0811
2023-01-02 05:00:00;0.0000;0.4080;0.0000
2023-01-02 05:15:00;0.0000;1.0750;0.6629
2023-01-02 05:30:00;0.0000;1.7420;0.0574
2023-01-02 05:45:00;0.0000;2.4090;0.0000
2023-01-02 06:00:00;0.0000;3.0760;0.7647
2023-01-02 06:15:00;0.0000;2.5340;0.0023
2023-01-02 06:30:00;0.0000;1.9920;0.8840
2023-01-02 06:45:00;0.0000;1.4500;0.0000
2023-01-02 07:00:00;0.0000;0.9080;0.5014
2023-01-02 07:15:00;0.0006;0.7760;0.0000
2023-01-02 07:30:00;0.0046;0.6440;0.0000
2023-01-02 07:45:00;0.0114;0.5120;0.1694
2023-01-02 08:00:00;0.0170;0.3800;0.1501
2023-01-02 08:15:00;0.0220;0.3430;0.0000
2023-01-02 08:30:00;0.0332;0.3060;0.0000
2023-01-02 08:45:00;0.0792;0.2690;0.0145
2023-01-02 09:00:00;0.1048;0.2320;0.0000
2023-01-02 09:15:00;0.1465;0.4310;0.2326
2023-01-02 09:30:00;0.1701;0.6300;0.2134
2023-01-02 09:45:00;0.1816;0.8290;0.1401
2023-01-02 10:00:00;0.2018;1.0280;0.3432
2023-01-02 10:15:00;0.2111;1.0200;0.0000
2023-01-02 10:30:00;0.2240;1.0120;0.0000
2023-01-02 10:45:00;0.2414;1.0040;0.9210
2023-01-02 11:00:00;0.1856;0.9960;0.0000
2023-01-02 11:15:00;0.1766;0.9340;1.1890
2023-01-02 11:30:00;0.2380;0.8720;0.0000
2023-01-02 11:45:00;0.2290;0.8100;0.3874
2023-01-02 12:00:00;0.2132;0.7480;1.0245
2023-01-02 12:15:00;0.2355;0.6430;0.5001
2023-01-02 12:30:00;0.1955;0.5380;0.0000
2023-01-02 12:45:00;0.2296;0.4330;0.4088
2023-01-02 13:00:00;0.1775;0.3280;0.0000
2023-01-02 13:15:00;0.1707;0.3180;0.3076
2023-01-02 13:30:00;0.1454;0.3080;0.4167
2023-01-02 13:45:00;0.2129;0.2980;0.0000
2023-01-02 14:00:00;0.1811;0.2880;0.6098
2023-01-02 14:15:00;0.1265;0.7400;0.0000
2023-01-02 14:30:00;0.1166;1.1920;0.5291
2023-01-02 14:45:00;0.0624;1.6440;0.4610
2023-01-02 15:00:00;0.0523;2.0960;0.1798
2023-01-02 15:15:00;0.0524;2.0030;0.0000
2023-01-02 15:30:00;0.0300;1.9100;0.0000
2023-01-02 15:45:00;0.0081;1.8170;0.2115
2023-01-02 16:00:00;0.0008;1.7240;0.5969
2023-01-02 16:15:00;0.0000;1.6620;0.4528
2023-01-02 16:30:00;0.0000;1.6000;0.0000
2023-01-02 16:45:00;0.0000;1.5380;1.0784
2023-01-02 17:00:00;0.0000;1.4760;0.3285
2023-01-02 17:15:00;0.0000;1.4040;0.0006
2023-01-02 17:30:00;0.0000;1.3320;0.4564
2023-01-02 17:45:00;0.0000;1.2600;0.0000
2023-01-02 18:00:00;0.0000;1.1880;0.0000
2023-01-02 18:15:00;0.0000;1.0120;0.0000
2023-01-02 18:30:00;0.0000;0.8360;0.0000
2023-01-02 18:45:00;0.0000;0.6600;0.7148
2023-01-02 19:00:00;0.0000;0.4840;0.4850
2023-01-02 19:15:00;0.0000;0.4640;0.5639
2023-01-02 19:30:00;0.0000;0.4440;0.9241
2023-01-02 19:45:00;0.0000;0.4240;0.0000
2023-01-02 20:00:00;0.0000;0.4040;0.8366
2023-01-02 20:15:00;0.0000;0.4580;0.0000
2023-01-02 20:30:00;0.0000;0.5120;0.3861
2023-01-02 20:45:00;0.0000;0.5660;0.0000
2023-01-02 21:00:00;0.0000;0.6200;1.3576
2023-01-02 21:15:00;0.0000;0.5450;0.0000
2023-01-02 21:30:00;0.0000;0.4700;0.0000
2023-01-02 21:45:00;0.0000;0.3950;0.0553
2023-01-02 22:00:00;0.0000;0.3200;1.0577
2023-01-02 22:15:00;0.0000;0.3070;0.1738
2023-01-02 22:30:00;0.0000;0.2940;0.0000
2023-01-02 22:45:00;0.0000;0.2810;0.0395
2023-01-02 23:00:00;0.0000;0.2680;0.4262
2023-01-02 23:15:00;0.0000;0.2550;0.0000
2023-01-02 23:30:00;0.0000;0.2420;0.0779
2023-01-02 23:45:00;0.0000;0.2290;0.4509
2023-01-03 00:00:00;0.0000;0.2160;0.9157
2023-01-03 00:15:00;0.0000;0.2280;0.0386
2023-01-03 00:30:00;0.0000;0.2400;0.5836
2023-01-03 00:45:00;0.0000;0.2520;0.5060
2023-01-03 01:00:00;0.0000;0.2640;0.0000
2023-01-03 01:15:00;0.0000;0.2510;0.1159
2023-01-03 01:30:00;0.0000;0.2380;0.5490
2023-01-03 01:45:00;0.0000;0.2250;0.0000
2023-01-03 02:00:00;0.0000;0.2120;0.0897
2023-01-03 02:15:00;0.0000;0.2260;0.1645
2023-01-03 02:30:00;0.0000;0.2400;0.0000
2023-01-03 02:45:00;0.0000;0.2540;0.0000
2023-01-03 03:00:00;0.0000;0.2680;0.0000
2023-01-03 03:15:00;0.0000;0.2530;1.3871
2023-01-03 03:30:00;0.0000;0.2380;0.4068
2023-01-03 03:45:00;0.0000;0.2230;0.8999
2023-01-03 04:00:00;0.0000;0.2080;0.0000
2023-01-03 04:15:00;0.0000;0.2560;0.0365
2023-01-03 04:30:00;0.0000;0.3040;0.0000
2023-01-03 04:45:00;0.0000;0.3520;0.4411
2023-01-03 05:00:00;0.0000;0.4000;0.2135
2023-01-03 05:15:00;0.0000;0.4420;0.0000
2023-01-03 05:30:00;0.0000;0.4840;0.0000
2023-01-03 05:45:00;0.0000;0.5260;0.0247
2023-01-03 06:00:00;0.0000;0.5680;0.0000
2023-01-03 06:15:00;0.0000;0.5280;0.0382
2023-01-03 06:30:00;0.0000;0.4880;0.0000
