p_pv;p_vue;p_ue;p_ut;p_ut_tot;t_ext
0;0.14016129;0;0;0;3.74
0;0.138064516;0;0;0;3.46
0;0.130548387;0;0;0;3.36
0;0.116096774;0;0;0;3.18
0;0.121774194;0;0;0;3.11
0;0.116129032;0;2.9715;118.86;2.81
0.021645;0.13383871;0;2.776;111.04;2.31
0.1373475;0.227225806;0;2.5805;103.22;2.51
0.3624975;0.238322581;0;2.38495;95.398;4.03
0.61308;0.224387097;0;2.15565;86.226;5.33
0.7313325;0.230677419;0;0;0;6.31
0.74778;0.174645161;0;0;0;7.08
0.6253425;0.19716129;0;1.681375;67.255;7.72
0.2523825;0.190516129;0;1.6634;66.536;8.14
0.2208975;0.198451613;0;1.6454;65.816;8.07
0.401475;0.160193548;0;2.0028;80.112;7.59
0.13332;0.196967742;0;0;0;7.16
0.0174075;0.193129032;0;0;0;6.8
0;0.269193548;0;2.8075;112.3;5.66
0;0.384096774;0;2.8975;115.9;5.86
0;0.337645161;0;2.9895;119.58;5.75
0;0.28416129;0;3.01425;120.57;3.93
0;0.219;0;3.04125;121.65;1.6
0;0.168451613;0;0;0;-0.34
0;0.147548387;0;0;0;-1.47
0;0.137032258;0;0;0;-1.97
0;0.126870968;0;0;0;-2.27
0;0.112967742;0;0;0;-2.38
0;0.116741935;0;0;0;-2.31
0;0.138967742;0;3.673;146.92;-2.31
0.070425;0.153774194;0;3.25025;130.01;-1.97
0.2664975;0.257354839;0;2.8255;113.02;1.26
0.465795;0.272129032;0;2.402925;96.117;6.57
0.543075;0.20816129;0;2.1287;85.148;8.76
0.6096075;0.193870968;0;0;0;10.19
0.6902625;0.233774194;0;0;0;11.65
0.687195;0.181;0;1.4386;57.544;12.79
0.6333225;0.187225806;0;1.297;51.88;13.66
0.588705;0.170193548;0;1.157625;46.305;14.18
0.4422225;0.147677419;0;1.479075;59.163;14.31
0.2395425;0.193451613;0;0;0;13.94
0.04275;0.194322581;0;0;0;12.43
0;0.177774194;0;2.247825;89.913;10.62
0;0.342967742;0;2.37145;94.858;8.93
0;0.398967742;0;2.495075;99.803;5.55
0;0.332193548;0;2.75125;110.05;3.44
0;0.232419355;0;3.00975;120.39;2.48
0;0.182096774;0;0;0;1.78
0;0.137387097;0;0;0;1.18
0;0.11883871;0;0;0;0.74
0;0.120451613;0;0;0;0.41
0;0.108419355;0;0;0;0.21
0;0.112580645;0;0;0;-0.25
0;0.142548387;0;3.62125;144.85;-0.67
0.067245;0.151032258;0;2.866;114.64;-0.71
0.26049;0.266806452;0;2.11295;84.518;2.79
0.4368375;0.301806452;0;1.357675;54.307;9.11
0.6215175;0.196032258;0;1.0947;43.788;12.67
0.73521;0.147354839;0;0;0;14.56
0.79962;0.141774194;0;0;0;15.83
0.780165;0.255096774;0;0.5035;20.14;16.78
0.7031175;0.175516129;0;0.440575;17.623;17.42
0.48768;0.181483871;0;0.377625;15.105;17.8
0.36459;0.158516129;0;0.741775;29.671;17.79
0.0931425;0.143741935;0;0;0;17.24
0.0225;0.152967742;0;0;0;15.33
0;0.242903226;0;1.629675;65.187;13.7
0;0.302129032;0;1.787025;71.481;13.81
0;0.30983871;0;1.944375;77.775;11.97
0;0.339354839;0;2.243325;89.733;9.58
0;0.222483871;0;2.5445;101.78;6.78
0;0.192548387;0;0;0;4.54
0;0.170935484;0;0;0;3.64
0;0.117516129;0;0;0;3.4
0;0.10883871;0;0;0;3.26
0;0.102354839;0;0;0;2.88
0;0.106806452;0;0;0;2.79
0;0.130806452;0;3.493;139.72;2.23
0.0761925;0.150354839;0;2.67275;106.91;2.62
0.272055;0.197580645;0;1.85445;74.178;5.7
0.4739175;0.214677419;0;1.034;41.36;10.07
0.6275925;0.189419355;0;0.7845;31.38;11
0.5308125;0.161258065;0;0;0;11.19
0.6276825;0.178225806;0;0;0;10.89
0.61251;0.194193548;0;0.22703;9.0812;10.29
0.215715;0.230225806;0;0.168588;6.74352;10.34
0.50763;0.230967742;0;0.11239;4.4956;10.45
0.4015725;0.171516129;0;0.584425;23.377;10.14
0.1601775;0.125709677;0;0;0;9.5
0.0348;0.146;0;0;0;8.51
0;0.248741935;0;1.69485;67.794;6.29
0;0.281935484;0;1.8612;74.448;5
0;0.367870968;0;2.027525;81.101;3.17
0;0.320096774;0;2.355725;94.229;1.48
0;0.204387097;0;2.68625;107.45;0.45
0;0.146580645;0;0;0;-0.01
0;0.125677419;0;0;0;-0.41
0;0.122709677;0;0;0;-1.02
0;0.125774194;0;0;0;-1.48
0;0.120451613;0;0;0;-1.83
0;0.117290323;0;0;0;-1.83
0;0.121451613;0;3.52675;141.07;-1.98
0.0211875;0.161354839;0;2.684;107.36;-1.6
0.10965;0.190387097;0;1.840975;73.639;2.26
0.0826875;0.25316129;0;0.998025;39.921;7.19
0.1412475;0.185741935;0;0.771;30.84;9.17
0.0867825;0.202258065;0;0;0;10.81
0.0984;0.266451613;0;0;0;11.81
0.1284675;0.196516129;0;0.296725;11.869;12.51
0.08952;0.224709677;0;0.276475;11.059;12.68
0.10455;0.229741935;0;0.2585;10.34;12.82
0.0929325;0.196806452;0;0.57095;22.838;12.87
0.068505;0.175935484;0;0;0;12.77
0.018;0.183225806;0;0;0;11.62
0;0.254;0;1.6117;64.468;10.3
0;0.319806452;0;2.029775;81.191;10.57
0;0.299193548;0;2.450125;98.005;9.11
0;0.331419355;0;2.639;105.56;7.11
0;0.189903226;0;2.83;113.2;4.94
0;0.163645161;0;0;0;3.64
0;0.170387097;0;0;0;2.56
0;0.12883871;0;0;0;1.85
0;0.113387097;0;0;0;1.23
0;0.114;0;0;0;0.34
0;0.142967742;0;0;0;-0.04
0;0.123580645;0;3.3245;132.98;-0.31
0.0102525;0.168258065;0;2.6165;104.66;0.26
0.0334875;0.235612903;0;1.91065;76.426;4.56
0.0492;0.222451613;0;1.202575;48.103;8.94
0.0669675;0.259064516;0;0.959825;38.393;11.07
0.0642375;0.212548387;0;0;0;12.52
0.0519375;0.199548387;0;0;0;13.62
0.05535;0.248548387;0;0.485525;19.421;14.38
0.09225;0.280967742;0;0.496775;19.871;14.92
0.185445;0.233419355;0;0.508;20.32;15.12
0.125775;0.258290323;0;0.8137;32.548;15.04
0.095775;0.238806452;0;0;0;14.56
0.03495;0.18583871;0;0;0;13.54
0;0.201580645;0;1.79375;71.75;12.35
0;0.33483871;0;2.1624;86.496;12.5
0;0.31516129;0;2.531;101.24;12.41
0;0.327677419;0;2.67725;107.09;11.81
0;0.23883871;0;2.82325;112.93;10
0;0.198290323;0;0;0;7.55
0;0.152806452;0;0;0;5.73
0;0.14816129;0;0;0;3.95
0;0.140645161;0;0;0;3.16
0;0.133129032;0;0;0;2.85
0;0.106451613;0;0;0;2.18
0;0.113387097;0;3.0615;122.46;2
0.0397725;0.139193548;0;2.66375;106.55;2.62
0.0369;0.133064516;0;2.26355;90.542;7.01
0.1693875;0.227806452;0;1.8657;74.628;9.12
0.322575;0.247387097;0;1.728575;69.143;10.33
0.2982;0.251129032;0;0;0;11.42
0.2717775;0.249354839;0;0;0;12.64
0.1840875;0.316322581;0;1.575725;63.029;13.35
0.2840175;0.302064516;0;1.69935;67.974;14.02
0.50172;0.253645161;0;1.822975;72.919;14.58
0.1629375;0.277193548;0;1.96685;78.674;14.72
0.1661925;0.266419355;0;0;0;14.19
0.03024;0.246064516;0;0;0;13.41
0;0.219580645;0;2.31525;92.61;12
0;0.405483871;0;2.3737;94.948;10.28
0;0.369129032;0;2.43215;97.286;9.52
0;0.375064516;0;2.387175;95.487;9.4
0;0.237064516;0;2.344475;93.779;9.21
0;0.17683871;0;0;0;8.76
0;0.127516129;0;0;0;8.53
0;0.116032258;0;0;0;8.38
0;0.110516129;0;0;0;8.38
0;0.101290323;0;0;0;8.35
0;0.113580645;0;0;0;8.25
0;0.12283871;0;2.499575;99.983;8.13
0.0533475;0.16083871;0;2.335475;93.419;8.08
0.2897025;0.253516129;0;2.16915;86.766;8.3
0.4064475;0.184580645;0;2.00505;80.202;8.6
0.6517575;0.199806452;0;1.814;72.56;8.76
0.780855;0.185645161;0;0;0;8.82
0.846705;0.245258065;0;0;0;8.76
0.8403075;0.232064516;0;1.310475;52.419;9.06
0.7627125;0.188741935;0;1.18685;47.474;9.28
0.1443975;0.184;0;1.065475;42.619;9.5
0.446925;0.180548387;0;1.213825;48.553;9.54
0.099105;0.207580645;0;0;0;9.71
0.02772;0.181387097;0;0;0;9.23
0;0.25416129;0;1.805;72.2;8.67
0;0.319354839;0;2.101725;84.069;8.36
0;0.370096774;0;2.400675;96.027;8.08
0;0.325451613;0;2.4344;97.376;7.83
0;0.222870968;0;2.4681;98.724;7.72
0;0.201225806;0;0;0;7.58
0;0.166580645;0;0;0;7.53
0;0.122387097;0;0;0;7.42
0;0.115612903;0;0;0;7.3
0;0.116483871;0;0;0;7.18
0;0.123129032;0;0;0;7.06
0;0.159258065;0;2.63;105.2;7.01
0.0612225;0.145903226;0;2.3265;93.06;6.98
0.2221125;0.174967742;0;2.0208;80.832;7.15
0.4625475;0.175903226;0;1.717325;68.693;7.67
0.638595;0.196258065;0;1.55325;62.13;7.9
0.7546725;0.18316129;0;0;0;8.17
0.831855;0.234516129;0;0;0;8.51
0.8301675;0.158225806;0;1.202575;48.103;8.88
0.74535;0.175612903;0;1.1801;47.204;8.6
0.6136125;0.193387097;0;1.157625;46.305;8.23
0.4331325;0.229677419;0;1.44535;57.814;8.27
0.2345625;0.162677419;0;0;0;8.08
0.0554025;0.147741935;0;0;0;7.85
0;0.249483871;0;2.092725;83.709;7.69
0;0.364064516;0;2.1624;86.496;8.44
0;0.399451613;0;2.234325;89.373;8.11
0;0.309193548;0;2.196125;87.845;8.15
0;0.256935484;0;2.1579;86.316;8.31
0;0.174322581;0;0;0;8.25
0;0.161193548;0;0;0;8.16
0;0.134451613;0;0;0;8.13
0;0.124483871;0;0;0;7.81
0;0.115580645;0;0;0;7.36
0;0.123935484;0;0;0;7.23
0;0.140387097;0;2.81425;112.57;7.08
0.0273375;0.140935484;0;2.5085;100.34;6.22
0.1847175;0.208;0;2.205125;88.205;8.51
0.289545;0.20583871;0;1.8994;75.976;9.04
0.3917775;0.168193548;0;1.69935;67.974;9.84
0.43731;0.154483871;0;0;0;10.45
0.47004;0.195612903;0;0;0;10.78
0.25545;0.200677419;0;1.2363;49.452;10.94
0.425625;0.217870968;0;1.171125;46.845;11.28
0.27069;0.20716129;0;1.108175;44.327;11.74
0.12465;0.204258065;0;1.267775;50.711;11.65
0.1752825;0.214709677;0;0;0;11.24
0.061485;0.26316129;0;0;0;10.69
0;0.284709677;0;1.9219;76.876;9.67
0;0.266258065;0;2.256825;90.273;9.22
0;0.314096774;0;2.594;103.76;8.53
0;0.335516129;0;2.6795;107.18;7.99
0;0.254870968;0;2.767;110.68;7.24
0;0.183354839;0;0;0;6.57
0;0.142967742;0;0;0;5.86
0;0.119290323;0;0;0;6.01
0;0.118419355;0;0;0;5.71
0;0.116096774;0;0;0;5.7
0;0.125225806;0;0;0;6.17
0;0.148580645;0;2.82775;113.11;6.62
0.013665;0.147354839;0;2.32425;92.97;6.88
0.213975;0.182806452;0;1.822975;72.919;8.36
0.4276725;0.179516129;0;1.319475;52.779;9.53
0.3231225;0.143129032;0;1.03175;41.27;10.78
0.5507775;0.126193548;0;0;0;11.53
0.34974;0.128806452;0;0;0;12.33
0.173325;0.205806452;0;0.42035;16.814;13.31
0.27861;0.172193548;0;0.379875;15.195;13.74
0.20904;0.162354839;0;0.339425;13.577;14.45
0.1035675;0.14316129;0;0.6114;24.456;14.6
0.0327975;0.149290323;0;0;0;12.53
0.022575;0.163548387;0;0;0;11.82
0;0.20683871;0;1.44985;57.994;11.11
0;0.352548387;0;1.465575;58.623;10.41
0;0.323193548;0;1.479075;59.163;9.7
0;0.308483871;0;1.49255;59.702;8.99
0;0.192193548;0;1.5083;60.332;8.28
0;0.167419355;0;0;0;7.57
0;0.153806452;0;0;0;6.86
0;0.143;0;0;0;6.15
0;0.144129032;0;0;0;5.44
0;0.126354839;0;0;0;4.73
0;0.120967742;0;0;0;4.02
0;0.129064516;0;1.6072;64.288;3.31
0.0880575;0.159;0;1.620675;64.827;2.6
0.2436075;0.178419355;0;1.636425;65.457;1.89
0.448395;0.178935484;0;0.701325;28.053;14.3
0.6009525;0.150032258;0;0.40685;16.274;16.39
0.625965;0.224645161;0;0;0;17.49
0.7191375;0.24616129;0;0;0;18.3
0.7121325;0.229483871;0;0.000025;0.001;18.88
0.6644175;0.216129032;0;0.000025;0.001;19.28
0.5407425;0.264419355;0;0.000025;0.001;19.47
0.4028775;0.212709677;0;0.000025;0.001;19.19
0.220515;0.171935484;0;0;0;18.68
0.05331;0.161193548;0;0;0;18.12
0;0.242419355;0;0.602425;24.097;17.35
0;0.262096774;0;0.914875;36.595;14.69
0;0.361677419;0;1.22955;49.182;11.97
0;0.33916129;0;1.418375;56.735;10.13
0;0.273580645;0;1.6072;64.288;8.62
0;0.176387097;0;0;0;7.26
0;0.173451613;0;0;0;6.15
0;0.153967742;0;0;0;5.45
0;0.126903226;0;0;0;4.91
0;0.133677419;0;0;0;4.46
0;0.132064516;0;0;0;4.06
0;0.135096774;0;1.8994;75.976;3.87
0.0732975;0.160032258;0;1.35095;54.038;4.65
0.1311825;0.179064516;0;0.802475;32.099;10.55
0.276825;0.247806452;0;0.25175;10.07;14.82
0.2317575;0.235451613;0;0.033718;1.34872;16.44
0.1962375;0.232645161;0;0;0;17.27
0.7143675;0.211903226;0;0;0;18.02
0.5753175;0.220451613;0;0.000025;0.001;18.55
0.3997725;0.314870968;0;0.000025;0.001;18.56
0.2844525;0.274483871;0;0.000025;0.001;18.21
0.1352475;0.233774194;0;0.000025;0.001;18
0.12318;0.26416129;0;0;0;17.36
0.0252525;0.310096774;0;0;0;16.16
0;0.265064516;0;0.9778;39.112;14.86
0;0.332193548;0;1.1891;47.564;13.61
0;0.478612903;0;1.40265;56.106;12.84
0;0.347451613;0;1.6634;66.536;11.63
0;0.27583871;0;1.924125;76.965;10.83
0;0.249741935;0;0;0;10.65
0;0.20016129;0;0;0;10.23
0;0.16383871;0;0;0;8.88
0;0.150741935;0;0;0;8.16
0;0.152387097;0;0;0;7.49
0;0.150258065;0;0;0;7.23
0;0.163387097;0;2.450125;98.005;7.04
0.017085;0.158516129;0;1.70385;68.154;7.09
0.0334875;0.156193548;0;0.957575;38.303;8.14
0.0560325;0.200193548;0;0.209048;8.36192;8.58
0.0990825;0.285096774;0;0.000025;0.001;9.35
0.170565;0.278225806;0;0;0;9.81
0.0744825;0.253806452;0;0;0;10.61
0.223305;0.337193548;0;0.000025;0.001;11.47
0.201165;0.298967742;0;0.000025;0.001;11.83
0.115485;0.303193548;0;0.000025;0.001;11.27
0.0594525;0.289967742;0;0.000025;0.001;10.57
0.03075;0.250548387;0;0;0;9.9
0.0150375;0.233064516;0;0;0;9.31
0;0.284258065;0;0.66085;26.434;8.67
0;0.341419355;0;1.011525;40.461;7.7
0;0.35683871;0;1.364425;54.577;7.47
0;0.313290323;0;1.463325;58.533;7.3
0;0.29416129;0;1.562225;62.489;7.35
0;0.279548387;0;0;0;7.45
0;0.202258065;0;0;0;7.51
0;0.213741935;0;0;0;7.51
0;0.178193548;0;0;0;7.57
0;0.154774194;0;0;0;7.57
0;0.164483871;0;0;0;7.5
0;0.156612903;0;1.4566;58.264;7.77
0.01572;0.155580645;0;1.112675;44.507;7.92
0.0560325;0.158741935;0;0.7665;30.66;7.2
0.1144725;0.209870968;0;0.42035;16.814;7.59
0.143205;0.252419355;0;0.271975;10.879;9.18
0.1599075;0.273806452;0;0;0;10.15
0.0615;0.461;0;0;0;10.82
0.1107;0.431741935;0;0.033718;1.34872;11.21
0.1441875;0.338387097;0;0.09216;3.6864;11.44
0.123;0.306354839;0;0.152853;6.11412;12.03
0.084735;0.242258065;0;0.438325;17.533;11.62
0.0615;0.310032258;0;0;0;11.28
0.0150375;0.237225806;0;0;0;10.53
0;0.166580645;0;1.29475;51.79;9.51
0;0.286225806;0;1.575725;63.029;7.5
0;0.392516129;0;1.85895;74.358;6.84
0;0.276387097;0;1.9219;76.876;6.19
0;0.228;0;1.984825;79.393;4.04
0;0.181709677;0;0;0;2.76
0;0.142741935;0;0;0;2.52
0;0.156741935;0;0;0;2.04
0;0.160096774;0;0;0;1.63
0;0.157612903;0;0;0;1.37
0;0.149193548;0;0;0;0.97
0;0.154483871;0;2.22985;89.194;0.65
0.096735;0.139935484;0;1.84995;73.998;1.01
0.2792775;0.141193548;0;1.470075;58.803;5
0.46734;0.231870968;0;1.08795;43.518;9.79
0.6038775;0.278709677;0;0.72605;29.042;11.93
0.715425;0.309516129;0;0;0;13.25
0.7779;0.241064516;0;0;0;14.32
0.769485;0.261935484;0;0.000025;0.001;15.14
0.60093;0.224516129;0;0.000025;0.001;15.72
0.3065625;0.281193548;0;0.000025;0.001;15.99
0.28428;0.179903226;0;0.000025;0.001;16
0.161805;0.171064516;0;0;0;15.73
0.0548475;0.193419355;0;0;0;14.9
0;0.230451613;0;0.77325;30.93;12.4
0;0.298419355;0;1.200325;48.013;11
0;0.343322581;0;1.629675;65.187;10.88
0;0.287677419;0;1.7623;70.492;10.64
0;0.250322581;0;1.894925;75.797;9.96
0;0.208774194;0;0;0;9.55
0;0.180451613;0;0;0;9.09
0;0.152451613;0;0;0;8.22
0;0.14383871;0;0;0;7.58
0;0.137419355;0;0;0;7.5
0;0.137774194;0;0;0;7.33
0;0.138419355;0;2.322;92.88;7.25
0.0831525;0.174129032;0;1.613925;64.557;7.88
0.2854875;0.168483871;0;0.903625;36.145;8.37
0.472215;0.309580645;0;0.193313;7.73252;9.24
0.6267375;0.228709677;0;0.000025;0.001;9.73
0.7408575;0.191935484;0;0;0;10.32
0.794565;0.252870968;0;0;0;10.93
0.7755525;0.272064516;0;0.000025;0.001;10.87
0.715575;0.215225806;0;0.000025;0.001;10.95
0.58797;0.316193548;0;0.000025;0.001;10.75
0.4259925;0.238032258;0;0.000025;0.001;10.85
0.23742;0.204451613;0;0;0;10.94
0.0622725;0.202935484;0;0;0;10.48
0;0.257935484;0;0.3147;12.588;9.72
0;0.362451613;0;0.62715;25.086;8.58
0;0.391741935;0;0.9396;37.584;8.04
0;0.353677419;0;1.2498;49.992;7.58
0;0.210870968;0;1.56;62.4;7.24
0;0.158516129;0;0;0;7.11
0;0.146387097;0;0;0;6.7
0;0.132967742;0;0;0;6.8
0;0.131548387;0;0;0;6.61
0;0.121451613;0;0;0;6.58
0;0.128064516;0;0;0;6.55
0;0.133935484;0;2.077;83.08;6.49
0.1045275;0.149935484;0;1.168875;46.755;6.92
0.2841375;0.197483871;0;0.26075;10.43;8.18
0.464655;0.252419355;0;0.000025;0.001;8.48
0.6370875;0.160451613;0;0.000025;0.001;9.37
0.74199;0.192870968;0;0;0;10.42
0.7898925;0.195064516;0;0;0;11.27
0.7008675;0.187258065;0;0.000025;0.001;11.59
0.5248875;0.233451613;0;0.000025;0.001;12.07
0.38535;0.217322581;0;0.000025;0.001;11.26
0.3594675;0.232806452;0;0.000025;0.001;11.56
0.1599075;0.226548387;0;0;0;10.79
0.06399;0.187806452;0;0;0;10.66
0;0.164258065;0;0.000025;0.001;9.99
0;0.304032258;0;0.323675;12.947;8.48
0;0.416870968;0;0.892375;35.695;7.92
0;0.413193548;0;0.959825;38.393;6.01
0;0.323258065;0;1.0295;41.18;5.01
0;0.169354839;0;0;0;3.91
0;0.146612903;0;0;0;3.3
0;0.125225806;0;0;0;2.61
0;0.123967742;0;0;0;1.98
0;0.122580645;0;0;0;1.44
0;0.125451613;0;0;0;1.15
0;0.169225806;0;1.07445;42.978;1.07
0.0728325;0.147129032;0;0.496775;19.871;2.3
0.10677;0.186967742;0;0.000025;0.001;6.93
0.27459;0.25516129;0;0.000025;0.001;10.71
0.15822;0.208096774;0;0.000025;0.001;13.22
0.244065;0.165903226;0;0;0;14.81
0.2280675;0.17983871;0;0;0;15.95
0.1855725;0.163677419;0;0.000025;0.001;16.77
0.3849225;0.175903226;0;0.000025;0.001;17.32
0.21861;0.219451613;0;0.000025;0.001;17.51
0.398835;0.283645161;0;0.000025;0.001;17.37
0.2363775;0.200741935;0;0;0;16.96
0.0635325;0.210580645;0;0;0;16.07
0;0.222580645;0;0.000025;0.001;14.37
0;0.346548387;0;0.19556;7.8224;13.98
0;0.384258065;0;0.809225;32.369;11.26
0;0.344387097;0;0.944075;37.763;8.46
0;0.283548387;0;1.07895;43.158;6.77
0;0.207387097;0;0;0;5.57
0;0.145483871;0;0;0;4.49
0;0.139870968;0;0;0;3.61
0;0.134290323;0;0;0;3.2
0;0.135096774;0;0;0;2.73
0;0.124806452;0;0;0;1.93
0;0.137129032;0;1.427375;57.095;1.27
0.1026975;0.138548387;0;0.6766;27.064;2.35
0.2988;0.222967742;0;0.000025;0.001;8.64
0.48099;0.336580645;0;0.000025;0.001;12.65
0.602325;0.240677419;0;0.000025;0.001;14.47
0.710115;0.209322581;0;0;0;15.59
0.7806525;0.193516129;0;0;0;16.38
0.755745;0.186967742;0;0.000025;0.001;16.88
0.7075725;0.198548387;0;0.000025;0.001;17.19
0.57723;0.237806452;0;0.000025;0.001;17.22
0.41871;0.279645161;0;0.000025;0.001;17.03
0.2343975;0.198451613;0;0;0;15.97
0.064395;0.239451613;0;0;0;14.6
0;0.268870968;0;0.000025;0.001;13.28
0;0.304935484;0;0.000025;0.001;13.57
0;0.362870968;0;0.000025;0.001;12.78
0;0.346322581;0;0.089913;3.59652;10.55
0;0.323354839;0;0.449575;17.983;8.06
0;0.227;0;0;0;6.49
0;0.156935484;0;0;0;5.14
0;0.133903226;0;0;0;4.15
0;0.136516129;0;0;0;3.66
0;0.124806452;0;0;0;3.31
0;0.11183871;0;0;0;3.14
0;0.130580645;0;1.254275;50.171;2.91
0.1147125;0.132870968;0;0.66985;26.794;4.16
0.2948025;0.151612903;0;0.08317;3.3268;9.51
0.4833675;0.251290323;0;0.000025;0.001;12.84
0.63288;0.218064516;0;0.000025;0.001;14.27
0.7452675;0.213806452;0;0;0;15.19
0.8014875;0.236612903;0;0;0;15.83
0.78732;0.207483871;0;0.000025;0.001;16.37
0.72141;0.309290323;0;0.000025;0.001;16.3
0.599235;0.332612903;0;0.000025;0.001;16.26
0.432105;0.284032258;0;0.000025;0.001;14.88
0.23805;0.276258065;0;0;0;14.02
0.0651825;0.218032258;0;0;0;13.33
0;0.270677419;0;0.000025;0.001;12.33
0;0.479709677;0;0.128125;5.125;12.71
0;0.419741935;0;0.271975;10.879;11.18
0;0.426677419;0;0.377625;15.105;9.58
0;0.319419355;0;0.483275;19.331;8.54
0;0.230419355;0;0;0;7.53
0;0.18316129;0;0;0;6.41
0;0.138096774;0;0;0;5.03
0;0.130354839;0;0;0;4.71
0;0.130032258;0;0;0;4.67
0;0.123516129;0;0;0;4.74
0;0.127419355;0;1.270025;50.801;4.99
0.11391;0.135612903;0;0.7755;31.02;5.92
0.297465;0.158516129;0;0.280975;11.239;8.34
0.4473375;0.184548387;0;0.000025;0.001;11.01
0.63069;0.330096774;0;0.000025;0.001;12.11
0.74184;0.294096774;0;0;0;12.58
0.796995;0.246967742;0;0;0;13.18
0.7819125;0.429483871;0;0.000025;0.001;13.13
0.70338;0.334677419;0;0.000025;0.001;12.64
0.569355;0.38216129;0;0.000025;0.001;12.47
0.3917475;0.345064516;0;0.000025;0.001;12.44
0.210735;0.406870968;0;0;0;12
0.0588225;0.29483871;0;0;0;11.67
0;0.288387097;0;0.2675;10.7;11.01
0;0.368258065;0;0.771;30.84;10.79
0;0.368064516;0;1.274525;50.981;10.57
0;0.424483871;0;1.368925;54.757;10.27
0;0.235322581;0;1.465575;58.623;9.97
0;0.198516129;0;0;0;9.7
0;0.151032258;0;0;0;8.55
0;0.128322581;0;0;0;8.41
0;0.126451613;0;0;0;8.22
0;0.125096774;0;0;0;8.03
0;0.132741935;0;0;0;8.23
0.0031875;0.129741935;0;1.22955;49.182;8.37
0.04032;0.157967742;0;0.89015;35.606;8.88
0.1320375;0.215870968;0;0.550725;22.029;9.71
0.164055;0.232967742;0;0.211295;8.4518;10.12
0.5981025;0.170548387;0;0.06069;2.4276;10.47
0.718125;0.171870968;0;0;0;11.69
0.7671;0.18816129;0;0;0;12.32
0.7205625;0.255774194;0;0.000025;0.001;13.19
0.6256125;0.215258065;0;0.000025;0.001;13.86
0.47682;0.28116129;0;0.000025;0.001;14.54
0.3665775;0.262322581;0;0.11464;4.5856;14.73
0.165375;0.202451613;0;0;0;14.54
0.0692475;0.247354839;0;0;0;13.44
0;0.239935484;0;1.308225;52.329;12.62
0;0.354032258;0;1.674625;66.985;9.85
0;0.397806452;0;2.043275;81.731;9.25
0;0.330580645;0;2.142175;85.687;9.02
0;0.31783871;0;2.243325;89.733;8.15
0;0.194903226;0;0;0;6.43
0;0.141516129;0;0;0;5.8
0;0.123967742;0;0;0;5.18
0;0.130064516;0;0;0;5.62
0;0.129741935;0;0;0;5.53
0;0.124387097;0;0;0;5.35
0.001275;0.13716129;0;2.947;117.88;5.45
0.013665;0.159419355;0;2.6615;106.46;5.84
0.107415;0.182290323;0;2.37595;95.038;8.35
0.1148025;0.275;0;2.090475;83.619;8.79
0.189285;0.260645161;0;1.775775;71.031;9.42
0.3194775;0.19183871;0;0;0;10.14
0.79359;0.190129032;0;0;0;10.69
0.77763;0.158322581;0;0.93735;37.494;11.03
0.71649;0.214193548;0;0.72605;29.042;11.43
0.5890425;0.205387097;0;0.51475;20.59;12.06
0.425235;0.228354839;0;0.8137;32.548;11.77
0.233835;0.281935484;0;0;0;11.86
0.0668475;0.178354839;0;0;0;11.1
0;0.200032258;0;1.6072;64.288;10.76
0;0.296483871;0;1.79825;71.93;9.77
0;0.356612903;0;1.991575;79.663;9.02
0;0.321903226;0;2.06575;82.63;8.25
0;0.287064516;0;2.142175;85.687;8.57
0;0.218935484;0;0;0;8.02
0;0.134741935;0;0;0;7.2
0;0.129677419;0;0;0;6.36
0;0.120903226;0;0;0;6.26
0;0.123064516;0;0;0;5.84
0;0.152322581;0;0;0;5.58
0.0076425;0.139419355;0;2.402925;96.117;5
0.1043925;0.15;0;2.27705;91.082;5.21
0.28713;0.183806452;0;2.148925;85.957;7.49
0.477885;0.242709677;0;2.0208;80.832;8.57
0.62961;0.206258065;0;1.90615;76.246;8.97
0.753375;0.196516129;0;0;0;9.05
0.7938225;0.143451613;0;0;0;9.23
0.78783;0.186580645;0;1.634175;65.367;9.7
0.72105;0.18883871;0;1.5937;63.748;9.57
0.5959275;0.245580645;0;1.5555;62.22;10.08
0.4357425;0.222580645;0;1.69035;67.614;10.34
0.2389425;0.208;0;0;0;10.18
0.06828;0.240516129;0;0;0;9.08
0;0.298032258;0;2.12195;84.878;8.63
0;0.344935484;0;2.283775;91.351;7.75
0;0.380870968;0;2.447875;97.915;7.04
0;0.312032258;0;2.47485;98.994;6.87
0;0.297548387;0;2.504;100.16;7.11
0;0.205516129;0;0;0;7.18
0;0.152064516;0;0;0;7.34
0;0.129290323;0;0;0;7.77
0;0.119258065;0;0;0;7.62
0;0.122290323;0;0;0;6.34
0;0.120677419;0;0;0;5.81
0.0114675;0.120258065;0;2.8525;114.1;4.97
0.1249875;0.146741935;0;2.56475;102.59;6.2
0.3058125;0.189935484;0;2.2748;90.992;9.68
0.49479;0.210806452;0;1.984825;79.393;11.8
0.63531;0.19283871;0;1.85445;74.178;13.3
0.7448775;0.17216129;0;0;0;14.52
0.80391;0.218032258;0;0;0;15.08
0.77811;0.273806452;0;1.4948;59.792;15.78
0.7168875;0.205193548;0;1.39815;55.926;16.03
0.59211;0.242774194;0;1.3015;52.06;16.02
0.430395;0.247419355;0;1.483575;59.343;15.93
0.241455;0.230129032;0;0;0;15.49
