p_pv;p_vue;p_ue;p_ut;p_ut_tot;t_ext
0;0.303483871;0;4.12475;164.99;-1.56
0;0.266354839;0;4.2035;168.14;-1.5
0;0.210774194;0;4.27975;171.19;-1.55
0;0.180516129;0;0;0;-1.69
0;0.151064516;0;0;0;-1.63
0;0.140225806;0;0;0;-1.67
0;0.142225806;0;0;0;-1.55
0;0.135612903;0;0;0;-1.51
0;0.127;0;0;0;-1.42
0;0.156548387;0;4.536;181.44;-1.39
0;0.158387097;0;4.25075;170.03;-1.48
0;0.153548387;0;3.96525;158.61;-1.11
0.1773675;0.236580645;0;3.67975;147.19;-0.77
0.5179125;0.258032258;0;3.2885;131.54;-0.17
0.5211825;0.219774194;0;0;0;0.29
0.63228;0.217419355;0;0;0;1.05
0.6485925;0.222064516;0;2.461375;98.455;1.19
0.594165;0.312322581;0;2.41415;96.566;1.35
0.43056;0.232387097;0;2.36695;94.678;0.99
0.224865;0.173258065;0;2.74225;109.69;1.09
0;0.243354839;0;0;0;0.84
0;0.264516129;0;0;0;1.06
0;0.343225806;0;3.718;148.72;1.16
0;0.32483871;0;3.9405;157.62;0.42
0;0.324677419;0;4.16525;166.61;0.46
0;0.307064516;0;4.2215;168.86;0.53
0;0.241612903;0;4.27525;171.01;0.62
0;0.196709677;0;0;0;0.74
0;0.171129032;0;0;0;0.82
0;0.156774194;0;0;0;1.15
0;0.141451613;0;0;0;1.22
0;0.140548387;0;0;0;1.33
0;0.137225806;0;0;0;1.45
0;0.150354839;0;4.35175;174.07;1.68
0;0.156548387;0;4.1315;165.26;1.64
0;0.164483871;0;3.91125;156.45;0.86
0.0068325;0.228354839;0;3.691;147.64;0.73
0.116985;0.24283871;0;3.24125;129.65;1.78
0.029385;0.257806452;0;0;0;2.85
0.0410025;0.191580645;0;0;0;4.09
0.0327975;0.256935484;0;2.4726;98.904;4.51
0.032115;0.287580645;0;2.60075;104.03;4.83
0.03075;0.251032258;0;2.72875;109.15;4.91
0.176745;0.19116129;0;3.01425;120.57;4.18
0;0.229096774;0;0;0;3.52
0;0.306580645;0;0;0;3.26
0;0.29;0;3.50875;140.35;3.15
0;0.339870968;0;3.43025;137.21;2.9
0;0.365225806;0;3.35375;134.15;2.98
0;0.319451613;0;3.3605;134.42;2.88
0;0.230451613;0;3.3695;134.78;2.03
0;0.205677419;0;0;0;1.31
0;0.181451613;0;0;0;1.03
0;0.195806452;0;0;0;0.77
0;0.164032258;0;0;0;0.52
0;0.136258065;0;0;0;0.63
0;0.158870968;0;0;0;0.06
0;0.144516129;0;3.45275;138.11;0.1
0;0.164645161;0;3.3335;133.34;-0.28
0;0.151225806;0;3.2145;128.58;1.64
0.0143475;0.237516129;0;3.093;123.72;1.77
0.0903525;0.243709677;0;2.74225;109.69;3.27
0.0973125;0.337;0;0;0;3.97
0.119655;0.245;0;0;0;4.6
0.366;0.318903226;0;1.980325;79.213;4.91
0.4960875;0.343483871;0;1.9174;76.696;4.93
0.33888;0.281580645;0;1.85445;74.178;4.67
0.2156925;0.292903226;0;2.12195;84.878;4.8
0;0.288064516;0;0;0;4.51
0;0.36316129;0;0;0;4.23
0;0.336806452;0;2.7175;108.7;4.15
0;0.495741935;0;2.7805;111.22;2.96
0;0.401935484;0;2.8435;113.74;3
0;0.364032258;0;2.79175;111.67;2.92
0;0.252;0;2.74;109.6;3.12
0;0.238225806;0;0;0;3.23
0;0.156967742;0;0;0;3.29
0;0.150967742;0;0;0;3.54
0;0.122548387;0;0;0;3.66
0;0.134451613;0;0;0;3.74
0;0.132709677;0;0;0;3.78
0;0.167064516;0;2.47485;98.994;3.76
0;0.165483871;0;2.3265;93.06;3.87
0;0.212483871;0;2.1759;87.036;3.47
0.034755;0.342870968;0;2.0253;81.012;3.38
0.0597525;0.242612903;0;1.773525;70.941;3.75
0.03417;0.277580645;0;0;0;4.34
0.038265;0.255903226;0;0;0;5.04
0.0492;0.293483871;0;1.1936;47.744;5.42
0.0410025;0.252032258;0;1.119425;44.777;5.49
0.06504;0.220419355;0;1.045225;41.809;5.38
0.019815;0.223935484;0;1.38915;55.566;4.67
0;0.184645161;0;0;0;4.12
0;0.248193548;0;0;0;4.31
0;0.300903226;0;2.137675;85.507;4.31
0;0.453193548;0;2.196125;87.845;3.68
0;0.429709677;0;2.256825;90.273;3.22
0;0.402354839;0;2.31525;92.61;1.94
0;0.267322581;0;2.37145;94.858;1.1
0;0.189612903;0;0;0;0.76
0;0.152354839;0;0;0;0.62
0;0.130935484;0;0;0;0.21
0;0.130129032;0;0;0;-0.37
0;0.128193548;0;0;0;-0.2
0;0.142032258;0;0;0;-1.01
0;0.154516129;0;2.56025;102.41;-1.06
0;0.157354839;0;2.454625;98.185;-0.57
0;0.222870968;0;2.348975;93.959;-0.63
0.16584;0.307290323;0;2.241075;89.643;0.28
0.2109075;0.203387097;0;2.21185;88.474;1.91
0.17208;0.198322581;0;0;0;4.8
0.2775825;0.189612903;0;0;0;5.51
0.43194;0.208322581;0;2.38045;95.218;6.07
0.5782425;0.189806452;0;2.60975;104.39;6.17
0.41757;0.211451613;0;2.839;113.56;5.95
0.0401025;0.186225806;0;3.13575;125.43;5.45
